T.Canaveralejo A1,3.41476833,-76.54962139
Terminal Menga A1,3.48941667,-76.50780333
Flora Industrial A1,3.47820083,-76.50237833
Nuevo Latir A1,3.41847861,-76.48684028
T. Paso del Comercio A1,3.49026750,-76.49224667
Terminal Andres Sanin A1,3.44394389,-76.48279917
Capri A1,3.38828000,-76.54508500
Plaza de Toros A1,3.40960417,-76.54746333
Pampalinda A1,3.40359333,-76.54687333
Refugio A1,3.39859889,-76.54646750
Caldas A1,3.39425500,-76.54599333
Melendez A1,3.37701000,-76.54277833
Buitrera A1,3.37253500,-76.53999500	
Univalle A1,3.37068667,-76.53662500
Universidades A1,3.36700500,-76.52925167
Versalles A1,3.46103667,-76.52719667
La ermita,3.453413,-76.531601
Las Americas A1,3.46351667,-76.52530833
Piloto,3.460135,-76.522339
San nicolas,3.458361,-76.525889
Prados del Norte A1,3.47439167,-76.51970000
Vipasa A1,3.47859500,-76.51705833
Alamos A1,3.48446000,-76.51338667
Amanecer A1,3.42158306,-76.49088111
Troncal Unida A1,3.42487694,-76.49461639
Conquistadores A1,3.42710556,-76.50530861
Villa Nueva A1,3.43216278,-76.51023500
Primitivo A1,3.43744806,-76.51780583
Chiminangos A1,3.48178639,-76.49809556
Salomia A1,3.47362500,-76.50695000
Popular A1,3.46947000,-76.51088667
Fatima A1,3.46289000,-76.51752000
Torre de Cali A1,3.45697833,-76.53030667
Plaza de Cayzedo A1,3.45240833,-76.53134333
Santa Rosa A1,3.44723333,-76.52975833
San Bosco A1,3.44234000,-76.53245500
7 de Agosto A1,3.44531167,-76.48706667
Villacolombia A1,3.44396167,-76.49896667
Chapinero A1,3.44439500,-76.50232000
Atanasio Girardot A1,3.44490500,-76.50843667
Floresta A1,3.44534833,-76.51471000
Belalcazar A1,3.44417667,-76.52084000
Tequendama A1,3.42356667,-76.54703000
Lido A1,3.41891167,-76.54839167
Unidad Deportiva A1,3.41527167,-76.54840167
Fray Damian A1,3.44399833,-76.52895167
Trebol A1,3.44362333,-76.49610667
Cien Palos A1,3.43980417,-76.52290361
Santa Monica A1,3.43459889,-76.51394694
Manzanares A1,3.46612500,-76.51343500
Rio Cali A1,3.46043000,-76.52534333
La Ermita A1,3.45364806,-76.53168194
Centro A1,3.44856833,-76.53014833
San Pascual A1,3.44270500,-76.52714667
Santa Librada A1,3.43999167,-76.53690167
Manzana del Saber A1,3.43495333,-76.54093000
Estadio A1,3.43189833,-76.54316167
