STOPID,SHORTNAME,LONGNAME,DECIMALLONGITUDE,DECIMALLATITUDE
600167,A.SANI18,Terminal Andres Sanin A2,-7648303889,344398
600168,A.SANI19,Terminal Andres Sanin A3,-7648321972,344400083
600166,A.SANIN9,Terminal Andres Sanin A1,-7648279917,344394389
500150,A.SANIN1,Terminal Andres Sanin B1,-7648254306,344380222
500151,A.SANIN2,Terminal Andres Sanin B2,-7648310333,344387611
500152,A.SANIN3,Terminal Andres Sanin B3,-7648358722,344393694
500153,A.SANIN4,Terminal Andres Sanin C1,-7648253694,344368472
500154,A.SANIN5,Terminal Andres Sanin C3,-7648306028,344375639
500160,A.SANI12,Terminal Andres Sanin C2,-7648273083,344371222
500155,A.SANIN6,Terminal Andres Sanin C4,-7648340583,344380556
500161,A.SANI13,Terminal Andres Sanin C5,-7648357861,344382639
600162,A.SANI14,Terminal Andres Sanin D1,-7648359917,344348861
600157,A.SANIN8,Terminal Andres Sanin D2,-7648343306,344348889
500156,A.SANIN7,Terminal Andres Sanin D3,-7648309778,344349556
500164,A.SANI16,Terminal Andres Sanin D4,-7648275778,344350417
500165,A.SANI17,Terminal Andres Sanin D5,-7648255917,344351
502300,UNIV1,Universidades A1,-7652925167,3367005
502302,UNIV3,Universidades A2,-7652893722,336672417
502301,UNIV2,Universidades B1,-7652905,336709
502303,UNIV4,Universidades B2,-76529395,336718333
502304,UNIVCOM1,Universidades C1,-7652821083,336655583
602314,UNIVCOM9,Universidades C2,-7652786389,336644111
602310,UNIVCOM5,Universidades C3,-7652804056,336654417
602312,UNIVCOM7,Universidades C4,-7652821944,336665083
602305,UNIVCOM2,Universidades D1,-7652835361,33664225
602309,UNIVCOM4,Universidades D3,-7652803833,336629528
602311,UNIVCOM6,Universidades D5,-7652765806,3366145
602313,UNIVCOM8,Universidades D2,-7652819194,336635806
602315,UNIVCO10,Universidades D4,-7652783778,336621417
501852,UDP3,Unidad Deportiva A2,-7654854,341494167
501854,UDP5,Unidad Deportiva A3,-7654845,341447667
501850,UDP1,Unidad Deportiva A1,-7654840167,341527167
601853,UDP4,Unidad Deportiva B2,-7654822667,341499333
601855,UDP6,Unidad Deportiva B3,-7654824639,341534083
601851,UDP2,Unidad Deportiva B1,-7654823833,341458667
500108,TMENGA9,Terminal Menga A1,-7650780333,348941667
500109,TMENGA10,Terminal Menga A2,-7650796333,3489455
500110,TMENGA11,Terminal Menga A3,-7650817333,348944167
500111,TMENGA12,Terminal Menga A4,-7650829833,348963667
500112,TMENGA13,Terminal Menga A5,-7650843972,348960472
500113,TMENGA14,Terminal Menga A6,-7650861389,348965222
500114,TMENGA15,Terminal Menga A7,-7650878278,348969417
600104,TMENGA5,Terminal Menga B1,-7650795833,348928833
600105,TMENGA6,Terminal Menga B2,-7650823611,348930028
600106,TMENGA7,Terminal Menga B3,-7650870667,3489515
600107,TMENGA8,Terminal Menga B4,-7650890639,348945833
600100,TMENGA1,Terminal Menga C1,-7650904167,348930667
600101,TMENGA2,Terminal Menga C2,-765089375,348910306
600102,TMENGA3,Terminal Menga C3,-7650828,348910667
600103,TMENGA4,Terminal Menga C4,-7650791333,348891417
604008,PCOMERA1,T. Paso del Comercio A1,-7649224667,34902675
604009,PCOMERA2,T. Paso del Comercio A2,-764926475,34898975
504010,PCOMERA3,T. Paso del Comercio A3,-7649298778,348957722
504011,PCOMERA4,T. Paso del Comercio A4,-76493315,348928611
604015,PCOMERB2,T. Paso del Comercio B2,-7649299472,348925806
604016,PCOMERB3,T. Paso del Comercio B3,-7649273639,348948583
604017,PCOMERB4,T. Paso del Comercio B4,-7649251972,348964361
604018,PCOMERB5,T. Paso del Comercio B5,-7649228361,348983611
604019,PCOMERB6,T. Paso del Comercio B6,-7649217139,349003167
504001,PCOMERC1,T. Paso del Comercio C1,-7649156833,349101611
504002,PCOMERC2,T. Paso del Comercio C2,-7649180917,349087806
504005,PCOMERC5,T. Paso del Comercio C5,-7649257667,349032639
504006,PCOMERC6,T. Paso del Comercio C6,-7649281278,349012389
604007,PCOMERC7,T. Paso del Comercio C7,-7649303917,348990028
600250,FLORAI1,Flora Industrial A1,-7650237833,347820083
600251,FLORAI2,Flora Industrial B1,-76502095,3478355
602600,N.LATIR2,Nuevo Latir B1,-7648674361,341832444
602601,N.LATIR1,Nuevo Latir A1,-7648684028,341847861
602101,CAPRI2,Capri B1,-7654479833,3387815
602103,CAPRI4,Capri B2,-7654486167,338828
602100,CAPRI1,Capri A1,-76545085,338828
502102,CAPRI3,Capri A2,-7654499,338772833
501900,PLATOR1,Plaza de Toros A1,-7654746333,340960417
501901,PLATOR2,Plaza de Toros B1,-7654744833,340987
501950,PAMPA1,Pampalinda A1,-7654687333,340359333
501951,PAMPA2,Pampalinda B1,-7654678167,340386667
502000,REFUG1,Refugio A1,-765464675,339859889
502001,REFUG2,Refugio B1,-76546405,339891833
502050,CALDAS1,Caldas A1,-7654599333,3394255
502051,CALDAS2,Caldas B1,-7654582333,339397833
511290,MELENC2,Melendez C2,-7654272028,337694944
511294,MELENC1,Melendez C1,-7654269944,337685417
511289,MELENC4,Melendez C4,-7654276917,337731083
511291,MELENC5,Melendez C5,-765428175,33774575
511296,MELENC3,Melendez C3,-7654273694,337714556
502150,MELEN1,Melendez A1,-7654277833,337701
502151,MELEN2,Melendez B1,-7654279,337730667
502200,BUITRE1,Buitrera A1,-76539995,3372535
502201,BUITRE2,Buitrera B1,-76540475,337282833
502250,UNIVAL1,Univalle A1,-76536625,337068667
502251,UNIVAL2,Univalle B1,-7653685167,3370985
